Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),TZ_001:Zone People Occupant Count [](TimeStep:ON),TZ_001:Zone People Sensible Heating Rate [W](TimeStep),TZ_001:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),DH:District Heating Hot Water Energy [KJ](TimeStep:ON),DH:District Heating Hot Water Rate [KW](TimeStep:ON),DH:District Heating Inlet Temperature [C](TimeStep:ON),,class,,,,
 01/01  13:15:00,8.9875,45.75,0,0.75,57.71114158,54.52152098,184846.1849,205.3846499,63,,63,,,,
 01/01  13:30:00,9.105,42,0,0.75,57.63351399,50.01481883,183299.5524,203.6661694,63,,63,,,,
 01/01  13:45:00,9.2225,33.75,0,0.75,57.82417655,40.10724395,183181.8989,203.5354433,63,,63,,,,
 01/01  14:00:00,9.34,25.5,0,0.75,57.86756727,30.23391432,183312.8692,203.6809658,63,,63,,,,
 01/01  14:15:00,9.3325,17.25,0,0.25,19.25763834,20.39893471,188121.166,209.0235178,63,,63,,,,
 01/01  14:30:00,9.325,9,0,0.25,19.22011516,10.60987069,190764.009,211.96001,63,,63,,,,
 01/01  14:45:00,9.3175,6.75,0,0.25,19.27837457,7.948484951,191293.9599,212.5488443,63,,63,,,,
 01/01  15:00:00,9.31,4.5,0,0.25,19.29469071,5.292007346,191324.0278,212.5822532,63,,63,,,,
 01/01  15:15:00,9.3025,2.25,0,0,0,2.641602579,194090.604,215.6562266,62,,62,,,,
 01/01  15:30:00,9.295,0,0,0,0,0,193898.2802,215.4425336,62,,62,,,,
 01/01  15:45:00,9.2875,0,0,0,0,0,192419.5839,213.7995377,63,,63,,,,
 01/01  16:00:00,9.28,0,0,0,0,0,193063.9397,214.5154886,62,,62,,,,
 01/01  16:15:00,9.275,0,0,0.25,19.27510837,0,190428.7545,211.587505,63,,63,,,,
 01/01  16:30:00,9.27,0,0,0.25,19.22970138,0,187823.2997,208.6925552,63,,63,,,,
 01/01  16:45:00,9.265,0,0,0.25,19.27366724,0,185766.0457,206.4067175,63,,63,,,,
 01/01  17:00:00,9.26,0,0,0.25,19.27636194,0,186988.4361,207.7649291,63,,63,,,,
 01/01  17:15:00,9.2425,0,0,0.5,38.47928994,0,183265.0968,203.6278853,63,,63,,,,
 01/01  17:30:00,9.225,0,0,0.5,38.54939775,0,181466.2987,201.6292207,63,,63,,,,
 01/01  17:45:00,9.2075,0,0,0.5,38.52512942,0,180422.4219,200.4693576,63,,63,,,,
 01/01  18:00:00,9.19,0,0,0.5,38.42617501,0,180003.7783,200.0041981,63,,63,,,,
 01/01  18:15:00,9.17,0,0,1,76.97229714,0,174765.7978,194.1842198,63,,63,,,,
 01/01  18:30:00,9.15,0,0,1,76.88940175,0,170159.532,189.0661466,63,,63,,,,
 01/01  18:45:00,9.13,0,0,1,76.99738868,0,170445.6639,189.384071,63,,63,,,,
 01/01  19:00:00,9.11,0,0,1,76.87542219,0,169336.7527,188.1519474,63,,63,,,,
 01/01  19:15:00,9.0925,0,0,0.75,57.71545604,0,171845.2522,190.9391691,63,,63,,,,
 01/01  19:30:00,9.075,0,0,0.75,57.62669276,0,173854.243,193.1713811,63,,63,,,,
 01/01  19:45:00,9.0575,0,0,0.75,57.69917233,0,172078.2029,191.1980032,63,,63,,,,
 01/01  20:00:00,9.04,0,0,0.75,57.8718319,0,173295.0426,192.5500473,63,,63,,,,
 01/01  20:15:00,9.0425,0,0,1,77.04566812,0,168893.1822,187.6590914,63,,63,,,,
 01/01  20:30:00,9.045,0,0,1,77.05972728,0,167742.8178,186.3809087,63,,63,,,,
 01/01  20:45:00,9.0475,0,0,1,76.84807024,0,165963.6374,184.4040415,64,,64,,,,
 01/01  21:00:00,9.05,0,0,1,76.86419484,0,165800.2353,184.2224837,64,,64,,,,
 01/01  21:15:00,9.0525,0,0,1,77.03650707,0,165720.4131,184.1337923,64,,64,,,,
 01/01  21:30:00,9.055,0,0,1,76.88252484,0,165133.118,183.4812422,64,,64,,,,
 01/01  21:45:00,9.0575,0,0,1,76.88609597,0,164082.2004,182.313556,64,,64,,,,
 01/01  22:00:00,9.06,0,0,1,77.02690021,0,166068.0188,184.5200209,64,,64,,,,
 01/01  22:15:00,9.0625,0,0,1,76.84573787,0,163199.8017,181.333113,64,,64,,,,
 01/01  22:30:00,9.065,0,0,1,77.04448374,0,163629.6525,181.810725,64,,64,,,,
 01/01  22:45:00,9.0675,0,0,1,76.91652186,0,164332.5191,182.5916878,64,,64,,,,
 01/01  23:00:00,9.07,0,0,1,76.90792085,0,162701.8615,180.7798462,64,,64,,,,
 01/01  23:15:00,8.9225,0,0,1,77.01575641,0,164298.6478,182.5540531,64,,64,,,,
 01/01  23:30:00,8.775,0,0,1,77.15883642,0,163948.5188,182.1650209,64,,64,,,,
 01/01  23:45:00,8.6275,0,0,1,76.94060848,0,162947.5974,181.052886,64,,64,,,,
 01/01  24:00:00,8.48,0,0,1,76.89749614,0,165444.7383,183.827487,64,,64,,,,
 01/02  00:15:00,8.335,0,0,1,77.02241842,0,165029.91,183.3665666,64,,64,,,,
 01/02  00:30:00,8.19,0,0,1,76.85174363,0,165795.344,184.2170489,64,,64,,,,
 01/02  00:45:00,8.045,0,0,1,76.86712959,0,166173.9121,184.6376801,64,,64,,,,
 01/02  01:00:00,7.9,0,0,1,77.03602603,0,166131.8017,184.5908908,64,,64,,,,
 01/02  01:15:00,7.755,0,0,1,76.89547558,0,168063.6549,186.7373943,63,,63,,,,
 01/02  01:30:00,7.61,0,0,1,76.92949094,0,166680.4537,185.2005042,64,,64,,,,
 01/02  01:45:00,7.465,0,0,1,77.11419941,0,167814.9202,186.4610224,63,,63,,,,
 01/02  02:00:00,7.32,0,0,1,76.98397251,0,169447.8787,188.2754208,63,,63,,,,
 01/02  02:15:00,7.215,0,0,1,77.02838769,0,167808.2958,186.453662,63,,63,,,,
 01/02  02:30:00,7.11,0,0,1,76.87202095,0,168562.005,187.2911167,63,,63,,,,
 01/02  02:45:00,7.005,0,0,1,76.95183383,0,171328.9711,190.3655234,63,,63,,,,
 01/02  03:00:00,6.9,0,0,1,76.84236387,0,169315.6037,188.1284486,63,,63,,,,
 01/02  03:15:00,6.7925,0,0,1,76.95918266,0,172174.4989,191.3049988,63,,63,,,,
 01/02  03:30:00,6.685,0,0,1,76.87336742,0,172224.9124,191.3610137,63,,63,,,,
 01/02  03:45:00,6.5775,0,0,1,77.00625846,0,170435.9552,189.3732836,63,,63,,,,
 01/02  04:00:00,6.47,0,0,1,76.93415052,0,173755.0547,193.0611719,63,,63,,,,
 01/02  04:15:00,6.365,0,0,1,77.0776075,0,173571.9794,192.8577549,63,,63,,,,
 01/02  04:30:00,6.26,0,0,1,77.01327189,0,172888.5472,192.0983857,63,,63,,,,
 01/02  04:45:00,6.155,0,0,1,77.16370525,0,175332.8564,194.8142849,63,,63,,,,
 01/02  05:00:00,6.05,0,0,1,77.10182391,0,174923.4535,194.3593928,63,,63,,,,
